timestamp,x,y,z
1489816940.05,-6.41,0.4,7.35
1489816940.06,-6.32,0.33,7.23
1489816940.08,-6.22,0.34,7.21
1489816940.09,-6.2,0.38,7.39
1489816940.11,-6.23,0.43,7.68
1489816940.12,-6.37,0.39,7.62
1489816940.14,-6.48,0.36,7.37
1489816940.15,-6.4,0.42,7.4
1489816940.17,-6.35,0.57,7.54
1489816940.18,-6.3,0.63,7.7
1489816940.2,-6.3,0.59,7.63
1489816940.21,-6.27,0.56,7.51
1489816940.22,-6.23,0.42,7.27
1489816940.24,-6.2,0.39,7.1
1489816940.25,-6.19,0.32,7.07
1489816940.27,-6.2,0.3,7.19
1489816940.29,-6.28,0.33,7.39
1489816940.3,-6.3,0.36,7.51
1489816940.31,-6.29,0.46,7.67
1489816940.33,-6.18,0.53,7.72
1489816940.34,-6.24,0.49,7.41
1489816940.36,-6.25,0.38,7.18
1489816940.37,-6.32,0.28,7.16
1489816940.38,-6.3,0.34,7.25
1489816940.4,-6.25,0.39,7.45
1489816940.41,-6.25,0.44,7.62
1489816940.43,-6.21,0.44,7.56
1489816940.45,-6.2,0.45,7.41
1489816940.46,-6.2,0.44,7.37
1489816940.47,-6.18,0.38,7.33
1489816940.49,-6.14,0.44,7.4
1489816940.5,-6.11,0.4,7.47
1489816940.52,-6.14,0.45,7.53
1489816940.53,-6.12,0.4,7.41
1489816940.54,-6.09,0.4,7.41
1489816940.56,-6.16,0.38,7.25
1489816940.57,-6.08,0.37,7.4
1489816940.59,-6.1,0.37,7.39
1489816940.61,-6.1,0.38,7.41
1489816940.62,-6.14,0.4,7.39
1489816940.63,-6.14,0.53,7.6
1489816940.65,-6.16,0.5,7.55
1489816940.66,-6.25,0.46,7.37
1489816940.67,-6.19,0.38,7.29
1489816940.69,-6.16,0.43,7.36
1489816940.7,-6.21,0.38,7.48
1489816940.72,-6.24,0.44,7.48
1489816940.74,-6.34,0.39,7.41
1489816940.75,-6.34,0.24,7.22
1489816940.76,-6.37,0.29,7.24
1489816940.78,-6.31,0.33,7.39
1489816940.79,-6.33,0.34,7.48
1489816940.81,-6.43,0.35,7.56
1489816940.82,-6.33,0.41,7.61
1489816940.83,-6.32,0.45,7.47
1489816940.85,-6.33,0.56,7.35
1489816940.86,-6.39,0.5,7.3
1489816940.88,-6.44,0.27,7.38
1489816940.9,-6.35,0.13,7.39
1489816940.91,-6.31,0.06,7.31
1489816940.92,-6.26,0.09,7.26
1489816940.94,-6.33,0.1,7.27
